dot_number,legal_name,carrier_type,usdot_status,authority_status,fleet_power_units,fleet_drivers,fleet_bucket,inspection_count,sms_present,validation_failures,has_conflicts,conflict_rules
4426218,SUMMA IMPLEMENT COMPANY INC,MIXED_OPERATION,ACTIVE,REQUIRES_VERIFICATION,3,4,3-10 (small),0,False,0,NO,
4445168,BOBCAT TRANSPORTATION LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,4,2,3-10 (small),1,False,0,NO,
3501544,AROD CUSTOM METAL INC,PRIVATE,ACTIVE,NOT_REQUIRED,3,3,3-10 (small),0,False,0,NO,
1239401,AMERICAN MOVING & STORAGE LTD,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,7,10,3-10 (small),3,False,0,NO,
3721325,1 TREE SERVICE LLC,PRIVATE,ACTIVE,NOT_REQUIRED,3,3,3-10 (small),3,False,0,NO,
2575768,MAYFIELD TRANSPORT LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,3,3,3-10 (small),2,False,0,NO,
3420339,EAGLE R TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,3,4,3-10 (small),4,False,0,NO,
3799028,VLR TRUCKING LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,17,17,11-50 (medium),29,False,0,NO,
2838125,AUTO TRANSPORTER LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,1,2,1-2 (owner-op),0,False,0,NO,
1339299,JOSE CORRAL,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,1,1,1-2 (owner-op),4,False,0,NO,
4379980,LAND RUNNER ENTERPRISES LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,2,2,1-2 (owner-op),0,False,0,NO,
4476803,DOUBLEBEE TRANSPORTING LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,1,1,1-2 (owner-op),0,False,0,NO,
3439271,EDWIN C DREYER,FOR_HIRE_INTERSTATE,INACTIVE,REQUIRES_VERIFICATION,1,4,1-2 (owner-op),0,False,0,NO,
1078436,P & E TRUCKING LLC,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,1,1-2 (owner-op),0,False,0,NO,
3770321,MILE HIGH TRANSPORT LLC,MIXED_OPERATION,INACTIVE,REQUIRES_VERIFICATION,2,8,1-2 (owner-op),0,False,0,NO,
808107,TRAVIS A SPADT,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,0,0,0 (unverified),0,False,0,NO,
554793,ANTONIO PEREZ,FOR_HIRE_INTERSTATE,INACTIVE,REQUIRES_VERIFICATION,0,0,0 (unverified),0,False,0,NO,
686386,REEVES AUTO DELIVERY,FOR_HIRE_INTERSTATE,INACTIVE,CONFIRMED_REVOKED,1,2,1-2 (owner-op),0,False,0,NO,
2073137,GKD TRUCK LLC,INTRASTATE_ONLY,ACTIVE,NOT_REQUIRED,1,1,1-2 (owner-op),0,False,0,NO,
2030625,MCNEAL & WHITE CONTRACTORS INC,PRIVATE,ACTIVE,NOT_REQUIRED,1,1,1-2 (owner-op),0,False,0,NO,
3174200,ARBORWAY TREE CARE INC,PRIVATE,ACTIVE,NOT_REQUIRED,12,16,11-50 (medium),0,False,0,NO,
2803082,P & C GROUP INC,INTRASTATE_ONLY,ACTIVE,NOT_REQUIRED,1,1,1-2 (owner-op),0,False,0,NO,
3697954,TAMIRLAN LLC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,149,149,51-200 (large),16,False,0,NO,
66197,AGTEGRA COOPERATIVE,MIXED_OPERATION,ACTIVE,CONFIRMED_ACTIVE,398,505,200+ (very large),135,False,0,NO,
356131,NEGWER MATERIALS INC,MIXED_OPERATION,ACTIVE,CONFIRMED_ACTIVE,96,84,51-200 (large),52,False,0,NO,
2614871,K & S SPAJIC INC,INTRASTATE_ONLY,ACTIVE,NOT_REQUIRED,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric
2709663,SUSANA A COMPLIDO,INTRASTATE_ONLY,ACTIVE,NOT_REQUIRED,0,1,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric
630962,LEONARD TURNAGE,INTRASTATE_ONLY,INACTIVE,NOT_REQUIRED,0,2,0 (unverified),0,False,1,YES,fleet_data_not_asymmetric
4146651,ROYAL MINIS LLC,FOR_HIRE_INTERSTATE,ACTIVE,REQUIRES_VERIFICATION,0,0,0 (unverified),0,False,0,NO,
3911278,ROC ROYAL LOGISTICS INC,FOR_HIRE_INTERSTATE,ACTIVE,CONFIRMED_ACTIVE,3,3,3-10 (small),8,False,0,NO,
